English,Danish,Dutch,Finnish,French,German,Indonesian,Italian,Japanese,Latin,Norwegian,Portuguese,Spanish,Swahili,Swedish
thursday,torsdag,donderdag,torstai,jeudi,donnerstag,kamis,giovedí,mokuyoubi,-,torsdag,quinta-feira,jueves,alhamisi,torsdag
ticket,billet,biljet,lippu,billet,fahrschein,karcis,sorte,chiketto,-,billett,passagem,billete,-,biljett
tie,slips,stropdas,sitoa,cravate,verbinden,ikat,legamento,tai,-,slips,ligar,corbata,-,binda
timber,træ,hout,puu,-,balken,kayu,legno,mokuzai,lignum,ved,madeira,leño,mti,timmer
time,tid,maal,aika,fois,zeitlich,jam,tempo,jikoku,tempus,tid,tempo,vez,wakati,tidpunkt
tin,tin,blikken,pelti,fer-blanc,konservenbüchse,-,latta,suzu,stannum,blikk,estanho,estaño,-,bleckburk
to,til,tegen,varten,à,zu,-,a tavola,dzuki,ad,-,a,a,ili,att
tobacco,-,tabak,tupakka,tabac,tabak,tembakau,tabacco,tabako,-,tobakk,tabaco,tabaco,tumbako,tobak
today,i dag,heden,tänään,aujourd'hui,heute,-,oggi,honjitsu,hodie,i dag,hoje,hoy,leo,-
tongue,tunge,tong,kieli,langage,zunge,lidah,idioma,shita,lingua,språk,lingua,lengua,lugha,tunga
too,for,evenzeer,myös,trop,überdies,-,anche,nimo,-,også,tambén,demasiado,mno,tillika
tooth,tand,tand,hammas,dent,zahn,-,dente,ha,dens,tann,dente,diente,jino,tand
town,by,stad,kaupunki,urbain,stadt,-,città,toshi,oppidum,by,vila,ciudad,mji,stad
train,tog,gevolg,juna,escort,zug,kereta-api,ammaestrare,tore-n,-,tog,comboio,adiestrar,-,exercera
travel,rejse,gaan,matkustaa,voyagez,reisen,bepergian,andara,ryokou,-,kjøre,curso,viajar,-,resa
tree,træ,boom,puu,arbre,baum,pohon,albero,ki,arbor,tre,árvore,arbol,mti,träd
trip,rejse,tocht,matka,voyage,abstecher,perjalanan,escursione,ensoku,-,reise,desengate,excursion,mwendo,tur
trouble,problem,bezwaar,vaivata,génons,mühe,-,fastidio,yuuku,problema,vanskelighet,problema,prueba,-,oroa
trousers,bukser,pantalon,housut,pantalon,hose,celana,pantaloni,zubon,bracæ,benklær,calças,pantalón,-,långbyxor
true,ægte,juist,tosi,vrai,richtig,-,vero,shinsei,verus,sann,verdadeiro,verdadero,-,trogen
trunk,stamme,boomstam,matkalaukku,torse,amt {n},-,tronco,toranku,proboscis,kuffert,tronco,maleta,-,snabel
truth,sandhed,waarheid,totuus,verité,wahrheit,-,verità,shin,veritas,sannhet,verdade,veras,-,sanning
try,forsøge,streven,koettaa,peiner,prüfen,coba ... mencoba,esperimentare,torai,-,forsøke,provar,intentar,-,försöka
tuesday,tirsdag,dinsdag,tiistai,mardi,dienstag,selasa,martedì,kayoubi,-,tirsdag,terça-feira,martes,jumanne,tisdag
turn,vending,anders maken,kääntää,dévier,drehen,baris,fila,magarime,vertere,kantre,fila,girar,-,svarva
twelve,tolv,twaalf,kaksitoista,douze,zwölf,-,dodici,juuni,duodecim,tolv,doze,doce,kumi na mbili,-
twenty,tyve,twintig,kaksikymmentä,vingt,zwanzig,-,venti,nijuu,viginti,tyve,vinte,veinte,ishirini,tjugo
two,to,twee,kaksi,deux,zwei,dua,due,ni,duo,to,duas,dos,mbili,två
umbrella,paraply,paraplu,-,parapluie,rekenschirm,payung,parapioggia,koumorigasa,-,paraply,guarda-chuva,paraguas,mwavuli,paraply
uncle,onkel,oom,setä,oncle,onkel,-,zio,hakufu,patruus,onkel,tio,tio,baba mdogo,morbror
under,under,beneden,alla,là dessous,unter,-,là sotto,shita,sub,under,sob,so,chini ya,under
upstairs,oven,boven,ylhäällä,dessus,nach oben,-,in alto,nikai,-,oppe,acima,arriba,juu,uppe
us,os,aan ons,me,nous,uns,kami,noi,touhou,-,-,nós,nosotras,sisi,oss
use,tilbringe,aanwending,käyttää,employer,benutzung,menggunakan,uso,tsukairyou,usio,-,usar,uso,-,trafikera
valley,dal,vallei,laakso,vallée,tal,lembah,valle,ya,vallis,dal,vale,val,-,dalgång
valuable,kær,kostbaar,kallis,cher,wertvoll,mahal,pregiato,tattoi,carus,kostbar,caro,caro,ghali,värdefull
vegetable,grønsager,groente,vihannes,légume,gemüse,-,pianta,bejitaburu,olus,grønsak,legume,verduras,mboga,vegetabilisk
very,meget,erg,sangen,très,sehr,-,-,meppou,admodum,meget,muito,muy,mno,ganska
vessel,skib,pot,astia,navire,gefäß,-,recipiente,utsuwa,abies,-,embarcação,buque,chombo,fartyg
view,syn,uitzicht,katsella,gré,betrachtung {f},-,parere,shoken,spectare,utsikt,vista,concepto,-,syn
village,landsby,plaats,kylä,village,dorf,kampung,villaggio,sato,-,bygd,aldeia,aldea,kijiji,by
visit,besøge,bezoeken,käydä vieraissa,visitons,besuch,mengunjungi,ispezionare,raiyuu,-,visitt,visita,rese ar,-,hälsa på
void,tom,loos,tyhjä,vide,ungültig,leher,vuotaggine,garandou,vacuus,tom,vácuo,caducado,tupu,tom
voyage,rejse,reis,matka,voyage,seereise,perjalanan,-,tokou,-,reise,viagem,viaje,mwendo,resa (på sjön)
wage,gage,gage,palkka,appointements,lohn,gaji,stipendio,kyuu,æs,-,salário,salario,mshahara,-
wages,gage,gage,palkka,salaire,lohn,gaji,stipendio,rouchin,æs,-,salários,salario,mshahara,lön
waiter,tjener,kelner,tarjoilija,garçon,kellner,pelayan restoran,cameriere,uxe-ta-,-,kelner,criado,camarero,-,kypare
walk,gå,marcheren,marssia,promenade,gehen,-,camminare,hokou,ambulare,spasertur,caminhada,paseo,-,gå
wall,mur,muur,seinä,paroi,mauer,dinding,parete,hei,paries,vegg,parede,pared,ukuta,mur
war,krig,oorlog,sota,guerre,krieg,-,guerra,kousen,bellum,krig,guerra,guerra,-,krig
watch,ur,horloge,kello,horloge,aufpassen,arloji-tangan,orologio,tokei,-,armbåndsur,relógio,prestar atencion,saa,valla
water,vand,water,vesi,arrosez,wasser,air,diluviare,mizu,aqua,vann,água,acuatico,maji,vatten
waterfall,vandfald,waterval,-,cascade,wasserfall,air-terjun,cascata,bakufu,cataracta,foss,cascata,cascada,-,vattenfall
way,vej,gebruik,tie,chemin,weg {m},kebiasaan,cammino,houto,via,bruk,estrada,manera,njia,sträcka
wealthy,rig,rijk,rikas,riche,reich,-,ricco,yutaka,-,rik,rico,adinerado,tajiri,förmögen
wear,bære,voeren,kantaa,porter,abnutzen,angkat ... mengangkat,abbigliare,mamou,vehere,bære,desgaste,sostener,-,nötning
wednesday,onsdag,woensdag,keskiviikko,mercredi,mittwoch,rabu,mercoledì,suiyoubi,-,onsdag,quarta-feira,miercoles,jumatano,onsdag
week,uge,week,viikko,suante,woche,-,settimana,uxi-ku,-,uke,semana,semana,wiki,vecka
well,sund,goed,no,puits,gut,sehat,bene,yoshi,sanus,frisk,bem,bien,vema,gott
west,vest,westen,länsi,couchant,westen,barat,ovest,nishi,-,vest,oeste,oeste,magharibi,väster
whale,hval,walvis,valas,baleine,wal,-,balena,kujira,balæna,hval,baleia,ballena,-,val
what,hvad,hetgeen,mikä,hein,was,apa,che,nan,-,-,que,cuales,nini,vilken
wheel,hjul,wiel,pyörä,roue,rad,roda,ruota,hoi-ru,rota,hjul,roda,rueda,-,ratt
when,når,wanneer,milloin,quand,sobald,-,laddove,itsu,quando,-,quando,cuando,lini,när
white,hvid,blanco,valkea,blanc,weiß,-,bianco,howaido,canus,hvit,branco,blanco,eupe,vit
wind,vind,op een klos winden,tuuli,emmailloter,blasen,angin,avvoltare,kaze,ventus,vind,vento,viento,upepo,nysta
wine,vin,wijn,viini,vin,wein,-,vino,wain,vinum,vin,vinho,vino,-,vin
wing,vinge,vleugel,-,piano à queue,tragfläche,sayap,-,hane,pinna,vinge,asa,accla,ubawa,vinge
winter,vinter,winter,talvi,hiver,winter,-,verno,fuyu,hiems,vinter,inverno,invierno,-,vinter
with,med,met,luona,avec,mit,-,con,motte,cum,med,com,con,-,hos
without,udder,gespeend van,ilman,dénué de,ohne,tanpa,senza,naradeha,-,-,sem,sin,pasipo,utan
woman,kvinde,vrouw,-,madame,frau,wanita,donna,fujoshi,mulier,kvinne,mulher,-,mwanamke,kvinna
wood,træ,hout,puu,-,wald,kayu,legno,mokuzai,lignum,ved,madeira,leño,mti,skog
word,ord,woord,sana,mot,vokabel,-,formulare,go,verbum,ord,palavra,palabra,neno,ord
work,arbejde,functioneren,toimia,ouvrer,arbeiten,kerja,lavorare,kinmu,laborare,arbeid,trabalhar,laborar,kazi,job
world,verden,aardrijk,maailma,mondiale,welt,dunia,mondo,seken,mundus,verden,mundo,mundo,ulimwengu,värd
yard,gård,yard,piha,coudée,yard,-,ulna,ya-ru,-,gårdsplass,jarda,corral,ua,gård
year,år,jaar,vuosi,année,jahr,-,anno,nendo,annus,år,ano,año,mwaka,årtal
yellow,gul,geel,keltainen,jaune,gelb,kuning,giallo,koushoku,-,gul,amarelo,amarillo,-,gul
yes,ja,ja,kyllä,si,ja,-,sì,hai,sic,ja,sim,conforma,ndiyo,ja
yesterday,i går,gisteren,eilen,hier,gestern,-,ieri,kinou,-,i går,ontem,ayer,jana,i går
yet,endnu,nog,jo,néanmoins,dennoch,masih,però,katsu,iam,dog,embora,todavía,lakini,än
you,de,jou,sinä,te,ihnen,-,a te,temae,tibi,man,tu,les,ninyi,ni
young,ung,beginnend,nuori,jeune,jung,muda,novellino,toshiwakai,-,ung,jovem,joven,mwana,ung
zero,nol,nul,nolla,zero,nullpunkt,nol,nullità,reido,-,null,zero,cero,-,noll
